Time[s], data, clock, present
2.4098905, 1, 1, 0
2.4108955, 1, 0, 0
2.411391, 1, 1, 0
2.4123955, 1, 0, 0
2.4128915, 1, 1, 0
2.413896, 1, 0, 0
2.414392, 1, 1, 0
2.4153965, 1, 0, 0
2.4158925, 1, 1, 0
2.416897, 1, 0, 0
2.417393, 1, 1, 0
2.4183975, 1, 0, 0
2.4188935, 1, 1, 0
2.419898, 1, 0, 0
2.420394, 1, 1, 0
2.4213985, 1, 0, 0
2.4218945, 1, 1, 0
2.422899, 1, 0, 0
2.423395, 1, 1, 0
2.4243995, 1, 0, 0
2.4248955, 1, 1, 0
2.4259, 1, 0, 0
2.426396, 1, 1, 0
2.4274005, 1, 0, 0
2.4278965, 1, 1, 0
2.428901, 1, 0, 0
2.4293965, 1, 1, 0
2.4304015, 1, 0, 0
2.430897, 1, 1, 0
2.431902, 1, 0, 0
2.4323975, 1, 1, 0
2.4334025, 1, 0, 0
2.433898, 1, 1, 0
2.434903, 1, 0, 0
2.4353985, 1, 1, 0
2.4385235, 1, 1, 1
